#,wallet_address,group_contract,fund_tx,join_tx,joined_date,status
1,GA6QDFMMAWC7Q7NGWD47SLBE5IQ7PKEQNVSD2UZ4N4E45NTABTNPB3LP,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,8d2ed7576448098f7c5fe36df1517b28b66d12549ab074c38ebc633d2735d080,2136de7a2e89d61dd938ee967d7a6d812926b81887e711394157b85f816310b5,2026-08-24,onboarded
2,GA7UV2JGKKWWVNFWV2D2GVYSAZ5WZ4RV4MKLTL5URBCGDYUCCKT47I32,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,4f4f7bd09c7284c48ce0b47f778ae13f355c3f9a79d3e6bab1f131def67cc294,c9d0fc17fd53c13312ffac086973f5285f70c1b6762d3b8ab2ed28870057b15d,2026-08-24,onboarded
3,GAAFEV3DJHVNQVUVQ3TRLPMCZ5CDW65RS46C66RG4YDC5MADAT4Z6DVZ,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,91f3e51169a8d33490d0341a7f37b75ab20fb8d134482a913235702325b97f27,c58ee946eafd477e1d79bbd978c45cdc3116f7de90860731cbc30709b2cde01c,2026-08-24,onboarded
4,GAAN4I2QKYVVSSK4CGUT4LQBHNQGMF4UA4BQAARH5JIV23T73W3OSVMY,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,9310c6596eceb2fd21e9b88a71304f9016a7b96fd91c005afea00ab27005815e,089544ca52f69e906656785472d8d9b9ba7321d6758c6ee132e50d2d56dedafd,2026-08-24,onboarded
5,GABCDZAESF6SWXH4C3BFCGO2ZYAOCKYFWTUXJNC4MR7QTMPVYEHQ2R2O,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,b25087c7578486898691d0f5434758b417bae66076fc63c7829c76551e586bd7,696f8339c51bb3214ff88a9abda66e45303d09ae2faa659f772fab342a6a3576,2026-08-24,onboarded
6,GABCEQAJTQRX47UJS5OH27YKSOSAXRJQDENSVW4WBPTPU2QWFI2O5IWX,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,2c673b9a7ccd10b6a15776e6a65b7301d6d628943b9910e7ab18255faf417641,002b77458bb5604eefa3dfba26998e8178f802e496ada40b1b9ffa4a5e5bd07a,2026-08-24,onboarded
7,GBUACYFDSSLWRXTYDFUV52FPK7V27GSI27DJ3AP3EXRMLIN4TGOQL5J7,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,92a1ab0d4f0adc56a4e507dbb853bd270023798546af1037d48275b9fe086e35,ec02edcac334e1c2551e43ed74e21a613c0db34bb888ff5c5ab51c79cb83dab3,2026-08-24,onboarded
8,GC3HS75RUNR3ABPR4POKBXY4GCTHY3ZT7E3CBATABDECDLDGANCQR6XG,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,44ac1fe6c2fc61e3db99a2cc9304a28f63b5a706378f6aeeb572b8ac825a3ce9,fb1d0f82192544a25fed524e98e884fa4f5cc6c1b68a944ca60dccf8bab3d219,2026-08-24,onboarded
9,GCLCO6T6563QGYJAR4YD2RF2ZC5VT6C22YW6EF7XC4PAWVS5N74I5TV4,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,a11f14b96e28044d717b8ba4022cc2f9b86df466628e1280fb950be74eb19c00,5d1fdc01a01548b5b5481cbe7239de4c7a6acbc4fffb752376e86932a8da3514,2026-08-24,onboarded
10,GCM6WWP5E7KZYSZS47IJMGKBX7KIFA7DIIH26QGHT4HRNLDZ3QS6YLUD,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,023a84c7cf259b4b02e442ca69b65cbdb6da639e58df5911562fa44fbfaa7b67,4792a27fba57ab6aea5020d92f76b22c4c783084e93ee0d3151191423032fbfd,2026-08-24,onboarded
11,GCV6Z4KPWJS2DYLQU3N7WFRQ2JMUYB3LYLE75J76EJQLTMMT7L6NX4JG,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,e76ff440a405c79fcd9915797480e0ca2ee1fa86984c8d9fa37ba0f0edb775b8,404337f38f63c1c413d7746263c90c59ef5fe899ab3296e15c9bb6ef3624868d,2026-08-24,onboarded
12,GCWXIEGJPE3VHDEHSCOZJZ6CTUX7OHWAFICY7GCDBOTXLPPIEPJR4EVR,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,eb78701dafe9bc349debd43d249d88e9c26a33560833f0e936df69cbac22101c,1925dcae3d9c6ec48b21a2e32a1809d03f7a1ef59c4b63a5d703e2c92e47086b,2026-08-24,onboarded
13,GCXZWFXPCMNDJ74CEO7RE2KTCEQB4EUFIP2LVSW7TR6BTZAMT4STN5KM,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,12bc70f46f9287aeeefb20c9bdd6990609abfb540b0f1bad2cf733af22d60cc4,204b0bfcd7282907e488fad09d557b72e67a5b5329142a6369af544d0047560d,2026-08-24,onboarded
14,GD52YUY2J5CY2P5XVLAMJHQBHXFHVGC5BYZEKVM3WC5DK5BODJXNSZSL,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,caa50ed4a87b2facb08ac3504b1bfc2f3e10228cf9eb8bf7fb94bb182d6ac3b1,101a8a40cf53ead6cbda0805eb8f771648a4943d68edceb598980f1bc5e571b2,2026-08-24,onboarded
15,GD6UIJRPHTMPH2OPCIZONPABKUHL5G7EEERCSVUUTUNK53XCZUEUL4RE,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,f6a8ee0450a73289535d7575150b0a91c341d35e982c9f3866bc263ff027adc4,b6866e885d0a9d31fd43148d07cf9e83a53d532867b3db7144557a2ad47fd004,2026-08-24,onboarded
16,GDDQWW7GRSZ3V4LOM4XO5O6ANCF455GPQ4N5LCF2VPOJ54RAIFV3EU6I,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,b32fb5c858b4b2e4cd6304b504e5c785f549d92cb977e08e4d827dc4e5642b01,043a1455d31eebda5126d5ed06374a04ad859bd959306fbcd994a247b085cb2d,2026-08-24,onboarded
17,GDEFRU2TJW2NR566G5QKZWBEIRPNBHERQTQ5JFHNPNNIVSTKKDT25IFQ,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,5afc47573fe5edc7fca6e5b843d838ad1404c80c34dc58f8268c0c734e5b8a22,f41c6f28cb31b619d71a22c84017c138ec3b09fb27099766bd2147e52e38ac7e,2026-08-24,onboarded
18,GDJVEITUZZYPVATAIQJYZI3CXPCKR5QCDLR5OLVARHRFC4XSQX7X5VFY,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,5a0b9cb74387f4569245f2b98058a2eee6779142f5fcb8f478d1d431377a4b02,a7e03fffbd2d306de312488d049eedf54ae4a9eecb4d449b1608414a1b8bfdee,2026-08-24,onboarded
19,GDLJGP4ST2WVK7B7277Y2YQV5ZWHCPTZN5X2VJJWOBBECYHOWN45DYH5,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,4658eb5486b449596b63112645f62501d001c35c2fbc35cd4e38ca880fb2f474,ae5d4a8097ca31ed9ab153fd3eba19b344f8499e4fc75805acfe5979ea886248,2026-08-24,onboarded
20,GDQSGRMNUG4G5NM4VIFHSUNHMUKEYG7DBU6P3L5OLNH2WE6A67OJQTMZ,CDHPHEBPIR4ZKJFGVCZNRU6HQWRS45V72FXAPLPRDLK3K7BLESAUHXMU,282ce1d91c8f2ee16ff0a8f431507d9760168ea04c0fe4ff6128500fba10423c,13c3852ef72b473c4a8456a5c87f6b30ad7c9d656043e823b08e2767d0614610,2026-08-24,onboarded
21,GAETNFG5ZYONXMQOQ7XTUG2EN2RVZN4RE2L67324AYGZE2N2ADQJMJ2Y,CDNY2GLH4KVN2U3HFWR7KL3QLPLKGSZHPODLEFFUFBXFYH46PTZQSBMY,85ed375d2efeb41881e36a5f99dddcc34cc63a37c42c0e0e4e0b12cd3dc3bdb6,verified-onchain,2026-08-24,onboarded
22,GAIMCNCKI5277AZZC3BB5UPRW4THPXBIXXR2B5ZIQ7GFESXLBYFZFZEV,CDNY2GLH4KVN2U3HFWR7KL3QLPLKGSZHPODLEFFUFBXFYH46PTZQSBMY,cb3024f0c2cf6eec62669281503c3d2314c7a64c1590cab8b20615ecb91391a7,verified-onchain,2026-08-24,onboarded
23,GAKF7ZWI73KYXN6S5G2NH5FLJZXK6NW7J3E5IJWLJEKOQMNCCXTMAIC2,CDNY2GLH4KVN2U3HFWR7KL3QLPLKGSZHPODLEFFUFBXFYH46PTZQSBMY,df300a550e7858f7434d4d38d08666088cd5a4535e2a45bd85c8a4fdb0c59c1c,verified-onchain,2026-08-24,onboarded
24,GALUOMYF5QI5KF6OUKAWNVZJZIYH2VCJN55MXP6OXSMZOMCM2J52ZSLR,CDNY2GLH4KVN2U3HFWR7KL3QLPLKGSZHPODLEFFUFBXFYH46PTZQSBMY,9a04ba344f3ad775b2a80fe14602e8f6fd25d582c0131591e71431893e360302,verified-onchain,2026-08-24,onboarded
25,GATWIDJKAVOITTSXAXYDQMMW2IOJC7YMCWOHGVYTXUIEGDPTA2TU72Z2,CDNY2GLH4KVN2U3HFWR7KL3QLPLKGSZHPODLEFFUFBXFYH46PTZQSBMY,7c2d69af06cb0ce47b297c886d5c652ee9faff729d790c7d9143381e1f2e6ca6,verified-onchain,2026-08-24,onboarded
26,GAVUWQPI3WAPFEAXNOQOFKVJWG6FWMTSUKKE43OZI7KKQHZAQWJA3XFH,CDNY2GLH4KVN2U3HFWR7KL3QLPLKGSZHPODLEFFUFBXFYH46PTZQSBMY,d61c67194d2932ebb47b9e5f93b367d402599fe2d7277227c960812a9990fd22,verified-onchain,2026-08-24,onboarded
27,GBB7IKWL7SAXP7HQJ5GXEIRRD5DM47AIUMOOIYHIR6JAEZU3W4LBNMBX,CDNY2GLH4KVN2U3HFWR7KL3QLPLKGSZHPODLEFFUFBXFYH46PTZQSBMY,b1fa8e5462f6e7be02ec41478d35ec0225757f4d336470019489f50fd9e9d533,verified-onchain,2026-08-24,onboarded
28,GBCP6UANG7I2LXAS4464N2EBVW7AKV22OETVL6PTJR6J7PDB7P6MX625,CDNY2GLH4KVN2U3HFWR7KL3QLPLKGSZHPODLEFFUFBXFYH46PTZQSBMY,5d3b389d343fee763d5143510bdc6ed85e588f405f038efa61944c74417d54a7,verified-onchain,2026-08-24,onboarded
29,GBJKLR6PCSQO3DRJGBKMLETZGI5P6EU6D23YHIF6U6S46ORWNMZVICWJ,CDNY2GLH4KVN2U3HFWR7KL3QLPLKGSZHPODLEFFUFBXFYH46PTZQSBMY,a013276a7ae46bb867a2417be16b6ce38197ee665a1c7badf20c0a18d2fd96d4,verified-onchain,2026-08-24,onboarded
30,GBKYBJLJFH4JZUONLU7I4V7CVIVVPJO5VT6KI5Y5LW5RRXRYIIKJ5QO7,CDNY2GLH4KVN2U3HFWR7KL3QLPLKGSZHPODLEFFUFBXFYH46PTZQSBMY,77ae6bd255453d942f30eb33401e33a5dd0030066c89e4b8feac7283a6b73bb5,verified-onchain,2026-08-24,onboarded
31,GBM5BDNPT23PWZJSPOT44TUFOXZKHROIDJIK35OVSCSPNVDJ36Z73TDM,CDNY2GLH4KVN2U3HFWR7KL3QLPLKGSZHPODLEFFUFBXFYH46PTZQSBMY,3140fdbd2b081db67839fa8991330fac899be932114218b9fcb7ef54252e74c5,verified-onchain,2026-08-24,onboarded
